"cl","auc"
"CAS1",9.3628
"KPL1",15.197
"MKN1",7.1656
"253JBV",19.421
"BFTC905",17.688
"BFTC909",13.666
"CAL120",17.112
"CAL29",16.275
"CAL62",15.001
"NMCG1",15
"RPMI7951",7.9648
"253J",10.627
"ALLSIL",6.9224
"HDQP1",14.32
"SNU245",8.2012
"SNU489",10.63
"SNU626",8.6569
"SNU738",12.504
"SNU878",10.735
"TUHR4TKB",8.6173
"ACCMESO1",13.383
"BCPAP",6.8775
"CGTHW1",10.065
"COLO680N",11.919
"ECC12",12.512
"HCC95",14.402
"JMSU1",11.985
"RH41",6.4048
"WSUDLCL2",3.0564
"2313287",14.471
"8305C",6.3167
"BHY",14.56
"GSU",15
"JIMT1",9.0803
"KMRC20",8.0451
"OUMS23",12.853
"SNU1076",12.832
"SNU1196",10.332
"SNU8",4.7615
"NCIH2009",12.117
"SNU201",10.568
"SNU1079",6.5793
"DEL",6.4376
"HARA",14.75
"HCC15",11.447
"KP4",7.0394
"LU99",13.709
"NCIH1155",6.5305
"NCIH1581",7.6935
"NCIH2106",7.2615
"NCIH358",12.518
"DLD1",14.467
"EM2",9.3812
"JURLMK1",10.24
"P12ICHIKAWA",7.3537
"KE37",6.5369
"KMS21BM",8.9283
"LI7",13.134
"MOLM13",6.8273
"NCIH28",7.394
"639V",15.672
"BXPC3",11.511
"CMLT1",4.3498
"GSS",11.836
"HCC366",8.992
"KURAMOCHI",9.7396
"LS411N",15.609
"LS513",11.047
"ONCODG1",7.6623
"ONS76",8.3238
"SKCO1",13.058
"SW48",14.834
"VMCUB1",14.877
"BEN",15.505
"CFPAC1",14.201
"HCC78",14.127
"HT",6.7015
"KU1919",10.237
"NCIH727",12.595
"NCO2",3.3964
"OVTOKO",6.9461
"P31FUJ",6.3688
"PEER",3.4663
"RPMI8402",10.543
"SHP77",6.6292
"SNU1077",8.6371
"SNU620",9.6519
"SUDHL1",3.9778
"COLO205",8.0896
"DOHH2",1.1089
"EHEB",7.8019
"KIJK",5.635
"KMM1",11.782
"LCLC103H",14.271
"MKN45",15
"NCIH2405",9.8943
"NCIH650",7.5846
"OSRC2",5.6938
"OVSAHO",7.5731
"QGP1",10.597
"RL952",8.0611
"SNU1041",13.275
"SNU1066",12.903
"SW1353",8.7799
"SNU213",13.562
"8505C",4.436
"CALU3",8.0905
"DAOY",6.52
"GB1",6.6696
"HCC1171",7.6169
"HCC44",12.382
"NCIH211",6.9699
"RERFLCAI",6.467
"SBC5",13.565
"SF126",6.6586
"SNU119",6.2181
"SNU81",13.956
"SNU182",5.1013
"TCCSUP",12.74
"CAMA1",10.38
"DETROIT562",10.256
"HEC1B",11.898
"HEP3B217",8.3334
"HSC3",6.592
"MCF7",14.545
"SNU1105",13.023
"U87MG",9.4068
"22RV1",11.113
"769P",8.6571
"COLO699",9.8509
"DOV13",8.9755
"ES2",3.4509
"HCC1806",14.711
"HCC1954",6.5855
"HPAFII",12.71
"KHM1B",7.1659
"OVISE",7.2456
"JVM3",8.8563
"SNUC2A",12.223
"U2OS",12.111
"5637",7.5389
"CAL12T",13.117
"DMS79",7.9099
"HCC1588",12.573
"HCC1833",8.9392
"HCC2279",7.9531
"KE97",7.1972
"KP3",7.1046
