"cl","auc"
"CAS1",14.169
"KPL1",15.883
"MKN1",14.779
"253JBV",15
"BFTC909",14.607
"CAL120",17.062
"CAL29",17.521
"CAL62",15
"HUCCT1",15
"RPMI7951",14.062
"253J",13.344
"HDQP1",14.102
"SNU489",14.023
"SNU626",14.068
"SNU738",14.657
"SNU878",14.958
"TUHR4TKB",13.604
"ACCMESO1",14.542
"BCPAP",12.409
"CGTHW1",15.404
"COLO680N",14.998
"ECC12",16.29
"HCC95",15.457
"JMSU1",16.467
"RH41",14.58
"WSUDLCL2",15.193
"2313287",15
"8305C",12.877
"BHY",15.168
"GSU",15
"JIMT1",16.06
"KMRC20",15
"OUMS23",15.637
"SNU1076",16.89
"SNU1196",15
"SNU8",15
"A375",11.367
"A549",15.535
"NCIH2009",15.602
"SUIT2",15
"SNU1079",13.239
"COLO741",11.063
"DEL",14.77
"HARA",14.941
"HCC15",15.564
"KP4",14.925
"LU99",14.919
"NCIH1155",14.631
"NCIH1581",14.629
"NCIH2106",14.92
"NCIH358",13.461
"DLD1",15
"EM2",14.233
"JURLMK1",15
"P12ICHIKAWA",14.556
"KE37",14.159
"LI7",12.445
"MOLM13",16.308
"NCIH28",15.34
"639V",15
"BXPC3",14.064
"CMLT1",14.511
"GSS",15.76
"HCC366",15
"KURAMOCHI",15.139
"LS411N",14.05
"LS513",15.529
"ONCODG1",15.785
"ONS76",15.372
"SKCO1",16.254
"SW48",16.274
"VMCUB1",14.926
"BEN",16.252
"CFPAC1",14.833
"HCC78",16.47
"HT",15.899
"KU1919",16.486
"NCIH1299",16.52
"NCIH727",16.532
"NCO2",16.169
"OVTOKO",14.475
"P31FUJ",15.489
"PEER",15.538
"RPMI8402",15.071
"SHP77",15.097
"SNU1077",15
"SNU620",16.449
"SUDHL1",15.308
"COLO205",12.797
"EHEB",15
"KIJK",14.983
"KMM1",14.607
"LCLC103H",15.664
"MKN45",16.431
"NCIH2405",14.705
"NCIH650",14.698
"OSRC2",15
"OVSAHO",15.265
"QGP1",14.822
"RL952",15
"SNU1041",15.664
"SNU1066",14.831
"SW1353",14.768
"SNU213",15
"8505C",11.032
"CALU3",16.283
"DAOY",14.692
"GB1",14.749
"HCC1171",13.715
"HCC44",13.423
"NCIH211",13.848
"RERFLCAI",15.822
"SBC5",17.586
"SF126",15.196
"SNU119",15.128
"SNU81",13.955
"SNU182",12.918
"TCCSUP",14.363
"CAMA1",16.93
"HEC1B",16.633
"HEP3B217",16.586
"HSC3",15.953
"MCF7",16.018
"SNU1105",14.981
"U87MG",15.998
"22RV1",13.717
"769P",15.2
"COLO699",15.793
"DOV13",16.709
"ES2",14.403
"HCC1806",15.125
"HCC1954",13.035
"HPAFII",13.534
"KHM1B",15.73
"OVISE",15
"JVM3",16.056
"SNUC2A",13.396
"U2OS",12.389
"5637",13.768
"DMS79",15
"HCC1588",15.567
"HCC1833",14.253
"HCC2279",14.967
"KE97",14.414
"KP3",14.047
"KYSE140",15.643
"NALM6",14.33
"NUGC4",14.915
"TTTHYROID",17.082
"AGS",15
"HCT116",14.92
"HEC108",15.414
"HEC59",15.807
"HMC18",17.173
"HT29",15
"ISHIKAWAHERAKLIO02ER",16.059
"JHOC5",15.364
"KYSE180",14.395
"LS180",15
"MELHO",10.428
"MHHES1",14.609
"MORCPR",15.903
"NCIH460",14.944
"HCC2108",14.907
"HCC827",14.356
"HEC251",17.912
"HEC6",16.081
"HEL",15.484
"JHUEM2",13.653
"JURKAT",14.074
"JVM2",13.238
"KCL22",13.409
"KE39",15.722
"KMH2",14.056
"LAMA84",13.612
"NCIH2030",15.209
"SNU719",15
"HCC1569",17.652
"KLE",14.848
"KMS26",14.663
"KMS27",16.088
"NCIH1838",13.223
"NCIH196",14.157
"H292",15.637
"SKMEL1",10.424
"HCC1937",13.587
"HDLM2",14.196
"HUH28",15.474
"MV411",16.009
"NCIH526",14.313
"NCIH929",14.993
"NCIN87",15.194
"PF382",14.569
"SF295",14.362
"SNU1272",14.889
"SNU308",15.561
"SNU478",16.938
"BHT101",12.729
"CAL148",12.079
"CAL51",15.231
"HCC1395",13.18
"HT115",15
"LN18",15.858
"LN229",14.696
"NCIH1734",14.201
"NCIH2291",15.973
"RERFLCAD1",12.966
"SNU1214",14.329
"SNU46",14.17
"SNU466",14.89
"SNU5",15.116
"SNU668",14.662
"SNU899",14.573
"TE10",14.533
"TE4",15.384
"TE9",15.197
"YD10B",15.527
"YD15",14.302
"YD38",14.677
"KNS60",14.414
"KNS81",16.069
"ML1",13.967
"NCIH2228",14.44
"NCIH2452",13.749
"NCIH2444",16.571
"NCIH226",15.959
"PC14",15.3
"RS411",13.633
"SJSA1",14.814
"SNU761",14.088
"SU8686",14.698
"SW1271",14.636
"TE6",14.23
"TE8",14.441
"ECC10",13.902
"HCC1195",14.149
"HPBALL",14.793
"KMS18",14.208
"KMS12BM",13.385
"KMS34",13.143
"KYO1",14.079
"MONOMAC1",13.661
"NCIH1650",14.442
"NCIH446",13.825
"REC1",14.593
"SNU410",14.59
"SNU886",15.951
"SUPT11",14.459
"TALL1",14.118
"YD8",13.76
"CHP126",15
"HS944T",14.851
"L540",13.877
"LOUNH91",14.754
"MOLM6",16.465
"MOLT16",13.806
"NCIH889",14.988
"NUDUL1",13.331
"RCHACV",14.424
"TUHR10TKB",14.846
"JK1",14.981
"MHHCALL4",16.441
"MONOMAC6",15.214
"MSTO211H",13.157
"NCIH661",14.481
"P3HR1",14.429
"RI1",14.891
"SUDHL10",14.868
"SUDHL8",14.84
"SW1573",13.131
"A2780",14.124
"CL11",15.41
"KARPAS620",14.723
"KYSE410",13.782
"LCLC97TM1",14.047
"MOLP2",15.964
"NCIH1355",13.657
"NCIH1573",13.827
"NCIH1666",12.389
"NCIH2087",13.704
"OCUM1",18.326
"KALS1",14.428
"SW1710",14.822
"BV173",13.691
"CAL78",14.383
"EPLC272H",14.477
"IGROV1",13.662
"RH18",13.394
"KM12",14.92
"KMS11",14.829
"MCAS",14.261
"MHHCALL3",15.479
"MKN74",14.247
"RKO",12.918
"SCC25",13.657
"SNGM",14.747
"AMO1",14.004
"HEC50B",13.333
"MC116",14.472
"MOLM16",15.43
"SUDHL4",14.215
"SUDHL6",15.381
"CW2",15
"FU97",13.733
"NCIH2052",15.826
"NCIH2085",15.398
"NCIH520",14.812
"SNU398",14.852
"DBTRG05MG",12.841
"KELLY",16.592
"MDAMB231",15
"ME1",17.44
"MELJUSO",15.959
"NB1",15.405
"NCIH1373",15
"NCIH1792",16.216
"NCIH2122",15.733
"NCIH508",13.862
"OVCAR4",15.162
"OVCAR8",15.19
"PL21",16.75
"RH30",14.724
"RPMI8226",16.088
"RT112",16.076
"SKM1",17.68
"SUPT1",16.511
"CCK81",17.034
"COLO201",13.788
"GDM1",15.557
"KARPAS299",16.254
"KPNSI9S",15
"MOLT13",15.809
"NB4",14.529
"NCIH2172",15.993
"NCIH2286",14.708
"NCIH441",16.168
"NOMO1",16.808
"OCIAML2",18.666
"RAJI",15.745
"REH",16.928
"EFE184",16.478
"GAMG",14.615
"HEC151",14.327
"HSC4",14.339
"HUH6",14.57
"PATU8902",14.298
"SNU840",14.469
"SNUC5",13.099
"SQ1",13.915
"SW1088",14.453
"THP1",14.244
"TYKNU",14.217
"U937",14.051
"UMUC3",14.386
"LS123",14.724
"NCIH524",13.156
"SKMEL28",12.041
"SKMEL31",14.119
"SKMEL5",13.952
"SNU407",15
"SNU61",17.633
"CALU6",14.583
"CAOV3",16.637
"EBC1",15.951
"HEYA8",16.321
"HT1376",14.387
"HT55",14.635
