"cl","auc"
"CAS1",10.56
"KPL1",13.072
"MKN1",8.5778
"253JBV",8.6047
"BFTC905",7.9894
"BFTC909",8.6528
"CAL120",10.209
"CAL29",7.0937
"CAL62",5.0481
"HUCCT1",8.4123
"NMCG1",13.497
"RPMI7951",3.5782
"253J",6.2694
"ALLSIL",2.9219
"HDQP1",7.7531
"SNU245",9.6229
"SIMA",4.1765
"SNU489",8.6936
"SNU626",9.1574
"SNU738",6.5138
"SNU878",6.3098
"TUHR4TKB",7.9133
"ACCMESO1",13.754
"BCPAP",3.4579
"CGTHW1",7.4535
"COLO680N",9.7942
"ECC12",3.2714
"HCC95",9.3785
"JMSU1",3.9787
"RH41",2.7963
"SNU175",1.9671
"WSUDLCL2",1.0639
"2313287",3.4545
"8305C",6.1396
"BHY",7.1537
"JIMT1",7.3833
"KMRC20",10.107
"SNU1076",4.5506
"SNU1196",9.8971
"SNU8",5.4072
"A375",7.6373
"A549",11.311
"NCIH2009",5.4172
"SNU201",13.77
"SUIT2",14.227
"SNU1079",10.459
"COLO741",10.657
"DEL",2.9199
"HARA",3.634
"HCC15",4.7853
"KP4",4.2138
"LU99",6.6266
"NCIH1155",4.7793
"NCIH1581",4.2195
"NCIH2106",8.1802
"NCIH358",3.7748
"DLD1",8.5683
"EM2",3.6031
"JURLMK1",1.5903
"P12ICHIKAWA",1.6765
"KE37",1.5256
"KMS21BM",0.5021
"LI7",6.8808
"MHHNB11",2.8657
"MOLM13",1.133
"NCIH1975",4.4061
"NCIH28",2.987
"639V",8.0854
"BXPC3",4.4415
"CMLT1",2.954
"GSS",2.2484
"HCC366",5.0912
"KURAMOCHI",11.157
"LS411N",14.673
"LS513",5.9887
"ONCODG1",4.0223
"ONS76",7.8187
"SKCO1",4.7307
"SW48",1.335
"VMCUB1",3.832
"BEN",17.709
"CFPAC1",10.156
"HCC78",11.4
"HT",4.6001
"KU1919",11.667
"NCIH1299",11.41
"NCIH727",12.188
"NCO2",2.0187
"OVTOKO",11.657
"P31FUJ",2.4645
"PEER",1.4288
"RPMI8402",3.4531
"SHP77",7.7893
"SNU1077",13.33
"SNU620",1.8302
"SUDHL1",4.1282
"COLO205",6.2616
"DOHH2",4.4326
"EHEB",7.2782
"KIJK",8.3712
"KMM1",13.953
"LCLC103H",6.754
"MKN45",15
"NCIH650",8.4848
"OSRC2",11.196
"OVSAHO",14.154
"QGP1",8.3152
"RL952",7.0311
"SNU1041",12.354
"SW1353",8.6546
"SNU213",14.286
"8505C",6.8652
"CALU3",9.3723
"DAOY",4.7751
"GB1",11.795
"HCC1171",12.537
"HCC44",2.5135
"NCIH211",2.4128
"RERFLCAI",3.6674
"SBC5",3.521
"SF126",9.0194
"SNU119",7.0643
"SNU81",3.1361
"SNU182",6.6716
"TCCSUP",9.4401
"CAMA1",10.746
"DETROIT562",6.6743
"HEC1B",11.994
"HEP3B217",13.06
"HSC3",9.9375
"MCF7",10.705
"SNU1105",10.843
"U87MG",13.175
"22RV1",7.66
"769P",11.969
"COLO699",10.193
"DOV13",10.624
"ES2",11.868
"HCC1806",6.2072
"HPAFII",12.479
"KHM1B",6.9649
"OVISE",14.339
"JVM3",5.5651
"SNUC2A",9.1273
"U2OS",9.9805
"5637",1.588
"CAL12T",6.7265
"DMS79",12.367
"HCC1588",6.5252
"HCC1833",11.75
"HCC2279",4.6666
"KE97",1.4795
"KP3",8.709
"KU812",3.3545
"KYSE140",7.6628
"NALM6",0.8761
"NUGC4",5.0651
"TTTHYROID",6.0902
"AGS",9.0658
"HCT116",9.3036
"HEC108",5.4001
"HEC59",10.511
"HMC18",7.7774
"HT29",9.8072
"ISHIKAWAHERAKLIO02ER",5.0861
"JHOC5",9.5113
"KYSE180",6.1564
"LS180",7.1292
"MELHO",8.2296
"MHHES1",4.5226
"MORCPR",5.7243
"NCIH460",12.739
"HCC2108",9.3279
"HCC827",7.6884
"HEC251",9.14
"HEC265",7.554
